0,0,0,0,0
11425,6035,2347,11205,4821
11637,6248,758,11418,7316
9065,6160,381,11330,4946
8395,4812,1471,12420,6036
8516,4657,1592,11649,5265
8506,4648,1582,11659,5275
8366,4783,1442,12391,6007
8356,4772,1432,12381,5997
8356,4772,1432,12381,5997
8722,4864,1798,12136,7732
7950,6804,1025,11974,5590
7941,6796,1017,11966,5582
7951,8222,2443,13392,7008
7581,7852,2073,13022,6638
7593,7864,2085,13034,6650
7328,7599,1820,12769,6385
6905,6503,3303,14252,10855
6912,6381,3310,12758,8253
6698,6625,3020,13002,8497
6433,6870,2834,13783,8741
7979,8175,2396,13345,6961
6027,6112,4953,14482,9977
5665,5750,4591,14121,9616
5428,5513,4354,13883,9378
6981,9233,3454,14403,8019
4997,4980,3975,13350,8845
4730,11001,6787,14889,10810
3940,10211,5146,14100,12822
3391,9662,6925,13550,12272
3582,13636,10152,17525,15266
4031,10302,6412,14191,12913
3696,13479,9994,17367,15108
3334,11880,8395,15768,13509
4277,11513,10624,15402,13142
4090,11326,10437,15214,12955
4878,11149,9242,15038,13760
3581,10818,9929,14706,12447
4475,8451,13463,12340,13623
2508,9302,8439,15669,11158
1831,8102,7792,11990,10712
5363,7674,7214,14038,9533
936,7207,9277,11095,10993
1628,7899,8857,11788,10573
1576,7847,8804,11735,10520
1531,7802,8760,11690,10476
722,6993,12005,10881,12165
434,6705,11717,10593,11877
706,6977,10370,10865,12086
995,3602,7184,9897,7006
8861,3040,5645,6590,3321
6137,2657,7211,4588,3360
8018,3059,7274,4639,3456
15440,3984,7972,3856,368
11150,3783,6625,3718,166
9594,3367,7355,3286,250
13600,9506,11030,4404,2432
14450,7568,11880,1738,2389
10963,7696,12708,5125,6403
10539,7272,11123,4605,5943
11844,8577,13589,4902,7284
4196,3306,8318,7195,5518
2342,5232,10244,9121,10404
11033,5643,3647,10813,4079
11045,5656,3660,10826,4091
10911,5522,3526,10692,3834
10511,6417,5103,6778,2821
14893,10799,8682,5875,1918
14948,10854,8737,5930,1973
14298,10204,11728,5281,2319
12399,8304,5901,5757,4568
15319,11225,12749,7085,6702
13072,8978,10502,4092,3709
12604,8510,10034,3418,3035
13618,8838,11048,3008,2625
13647,8867,11077,3037,2654
12508,9240,11480,2907,4242
12222,8954,13966,2621,3254
11925,8658,11838,2325,2730
2698,1559,7265,9001,4963
3292,1733,7438,9174,5137
