place,lat,long
S.E.C. Group Company Limited,13.758408,100.564900
"ThaiGerTec Co.,Ltd.",13.759992,100.566858
Siam City Insurance,13.760205,100.566750
"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.566100
"Janssen-Cilag Co.,Ltd.",13.761180,100.565752
Sis Distribution Thailand PCL,13.761259,100.565804
Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079
Johnson & Johnson Vision Care (Thailand),13.761275,100.566206
"Wiko Thailand Co.,Ltd.",13.761339,100.566094
"Settrade Dot Com Co.,Ltd.",13.763860,100.567793
"Inspur (thailand) Co.,Ltd.",13.764311,100.568371
"Airpay (thailand) Co.,Ltd.",13.764485,100.568251
"Nas Trading (Thailand) Co.,Ltd.",13.764860,100.568303
"Thai San Miguel Liquor Co.,Ltd.",13.766880,100.570499
"Thai Health Insurance Co.,Ltd",13.767422,100.570531
Promise Company Ltd Thailand,13.768903,100.571635
Alaina,13.772140,100.573009
"Synergysoft Solution Co.,Ltd.",13.772767,100.572677
The Emerald Hotel Bangkok,13.775350,100.572713
"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947
Swissotel Le Concorde Bangkok,13.776287,100.574007
LDS Sermsrap Building,13.780011,100.573355
"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489
Poseidon Entertainment Complex,13.785378,100.573671
"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266
Centric Ratchada-Suthisan,13.789918,100.573567
Sutthisan Police Station,13.791643,100.574056
Olympia Thai Company Limited,13.800055,100.575025
Bangkok North Municipal Court,13.811318,100.574536
The Court of Appeals,13.812652,100.574784
Department of Trade,13.812330,100.575661
Civil Court (Ratchada),13.814060,100.574777
Phahon Yothin Police Station,13.825800,100.569827
Chevron Thailand Exploration and Production LTD.,13.827067,100.566183
Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984
Supalai Park Ratchayothin,13.830544,100.561589
Super ratchayothin Company Limited,13.830145,100.561103
NakhonChaiAir Bus Station,13.828089,100.552213
Central Plaza Ladprao,13.816406,100.560817
Union Mall,13.812724,100.562365
Thai Airways International Public Company Limited,13.804657,100.561158
Thairath Newspaper,13.804779,100.558903
Bangkok Airways,13.806217,100.559521
Spring News Corporation Limited,13.806963,100.559399
"Fuji Xerox (Thailand) Co.,Ltd",13.808399,100.558816
TMB Bank Pulic Company Limited,13.808306,100.557804
THE LINE Jatujak-Morchit,13.806210,100.556202
"Bangkok Broadcasting & TV Co.,Ltd",13.803138,100.556413
Transport Chatuchak,13.798673,100.553211
Wannasorn,13.758205,100.534962
The Ministry of Foreign Affairs,13.762863,100.525626
The Department of Highways,13.761772,100.524523
Royal Thai Police,13.744256,100.537408
Siamkit Building,13.743937,100.534893
Siam Center,13.746298,100.532809
King Chulalongkorn Memorial Hospital,13.730903,100.535580
Chamchuri Square,13.733050,100.529675
Ministry of Defence,13.751768,100.494593
Ministry of Interior,13.750680,100.496686
Territorial Defence Command,13.747122,100.495222
Ministry of Finance,13.781515,100.535717
Central Jucenile and Family Court,13.798720,100.540997
Emirates Office,13.743879,100.562742
"G.M.M. Media Public Co.,Ltd.",13.743534,100.562553
Ocean Life Insurance,13.742856,100.562025
Sheraton Grande Sukhumvit,13.737581,100.559036
JW Marriott Hotel Bangkok,13.741878,100.551934
Mitr Phol Sugar Corporation Lid.,13.741389,100.552351
The Okura Prestige Bangkok,13.742633,100.547877
Queen Sirikit National Convention Center,13.724092,100.558810
FYI Center,13.720459,100.559697
The Thai life Assurance Association,13.723134,100.548262
SO Sofitel Bangkok,13.726081,100.543368
Hewlett-Packard (Thailand) Ltd.,13.727372,100.540598
Reuters Software (Thailand) Ltd.,13.727269,100.540842
CP All Public Co.Ltd,13.727432,100.532824
"The Nielsen Company (Thailand) Co.,LTD",13.726928,100.531413
Srilankan Airlines,13.726982,100.528450
AIS Tower1,13.783466,100.546388
"IBM Solutions Delivery Co.,Ltd.",13.781012,100.545744
